Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,stress_bottom_0,stress_bottom_1,stress_bottom_2,stress_bottom_3,stress_bottom_4,stress_bottom_5,stress_bottom_Magnitude
bottom-body,0,0.45,-0.45,-0.0845326,0.641986,0.00851772,0.00325513,0.00265659,7.98452e-05,0.000345831,0.0260016,0.0276842
bottom-body,1,0.45,-0.35,-0.0872144,0.57672,0.00811178,0.00292252,0.00151541,0.000106714,7.65456e-05,0.0255477,0.0270063
bottom-body,2,0.45,-0.25,-0.0898963,0.522572,0.00805976,0.00286646,0.00140447,6.9972e-05,4.90266e-05,0.0254559,0.0268916
bottom-body,3,0.45,-0.15,-0.0925781,0.483292,0.00802261,0.00282758,0.00133803,3.69582e-05,2.25334e-05,0.0253996,0.0268195
bottom-body,4,0.45,-0.05,-0.09526,0.462682,0.00800952,0.00281438,0.00131772,1.15856e-05,7.02415e-06,0.0253771,0.026792
bottom-body,5,0.45,0.05,-0.0979418,0.463241,0.00800952,0.00281438,0.00131772,-1.15856e-05,-7.02415e-06,0.0253771,0.026792
bottom-body,6,0.45,0.15,-0.100624,0.484897,0.00802261,0.00282758,0.00133803,-3.69582e-05,-2.25334e-05,0.0253996,0.0268195
bottom-body,7,0.45,0.25,-0.103306,0.525045,0.00805976,0.00286646,0.00140447,-6.9972e-05,-4.90266e-05,0.0254559,0.0268916
bottom-body,8,0.45,0.35,-0.105987,0.579856,0.00811178,0.00292252,0.00151541,-0.000106714,-7.65456e-05,0.0255477,0.0270063
bottom-body,9,0.45,0.45,-0.108669,0.645607,0.00851772,0.00325513,0.00265659,-7.98452e-05,-0.000345831,0.0260016,0.0276842
bottom-body,10,0.35,-0.45,-0.0682112,0.574154,0.00925996,0.0031545,0.0020936,3.76429e-05,0.000678696,0.0229252,0.0250221
bottom-body,11,0.35,-0.35,-0.0708931,0.500026,0.00849428,0.00258995,-0.000122508,8.42171e-05,0.000227087,0.0227919,0.0244623
bottom-body,12,0.35,-0.25,-0.0735749,0.436364,0.00837532,0.0024434,-0.00047461,6.37506e-05,0.000132583,0.0226988,0.0243228
bottom-body,13,0.35,-0.15,-0.0762568,0.388349,0.0083111,0.00235721,-0.000634921,3.51043e-05,6.39434e-05,0.0226547,0.0242544
bottom-body,14,0.35,-0.05,-0.0789386,0.362259,0.00828827,0.00232552,-0.000688559,1.11207e-05,1.96652e-05,0.0226351,0.0242265
bottom-body,15,0.35,0.05,-0.0816205,0.362852,0.00828827,0.00232552,-0.000688559,-1.11207e-05,-1.96652e-05,0.0226351,0.0242265
bottom-body,16,0.35,0.15,-0.0843023,0.390009,0.0083111,0.00235721,-0.000634921,-3.51043e-05,-6.39434e-05,0.0226547,0.0242544
bottom-body,17,0.35,0.25,-0.0869842,0.438824,0.00837532,0.0024434,-0.00047461,-6.37506e-05,-0.000132583,0.0226988,0.0243228
bottom-body,18,0.35,0.35,-0.089666,0.503031,0.00849428,0.00258995,-0.000122508,-8.42171e-05,-0.000227087,0.0227919,0.0244623
bottom-body,19,0.35,0.45,-0.0923479,0.577519,0.00925996,0.0031545,0.0020936,-3.76429e-05,-0.000678696,0.0229252,0.0250221
bottom-body,20,0.25,-0.45,-0.0518899,0.51739,0.00932518,0.00315334,0.00228338,4.7503e-06,0.000654675,0.0209897,0.0233048
bottom-body,21,0.25,-0.35,-0.0545717,0.433564,0.00861355,0.00271778,0.000174823,5.11717e-05,0.000327267,0.020914,0.0227841
bottom-body,22,0.25,-0.25,-0.0572536,0.358159,0.00843002,0.00251985,-0.000363136,4.8184e-05,0.000190433,0.020869,0.0226517
bottom-body,23,0.25,-0.15,-0.0599354,0.297645,0.00834912,0.00240907,-0.000585354,2.89558e-05,9.60294e-05,0.0208393,0.0225863
bottom-body,24,0.25,-0.05,-0.0626173,0.262528,0.00831893,0.0023642,-0.000665724,9.45167e-06,2.95225e-05,0.020826,0.0225602
bottom-body,25,0.25,0.05,-0.0652991,0.263181,0.00831893,0.0023642,-0.000665724,-9.45167e-06,-2.95225e-05,0.020826,0.0225602
bottom-body,26,0.25,0.15,-0.067981,0.299368,0.00834912,0.00240907,-0.000585354,-2.89558e-05,-9.60294e-05,0.0208393,0.0225863
bottom-body,27,0.25,0.25,-0.0706628,0.360546,0.00843002,0.00251985,-0.000363136,-4.8184e-05,-0.000190433,0.020869,0.0226517
bottom-body,28,0.25,0.35,-0.0733447,0.436325,0.00861355,0.00271778,0.000174823,-5.11717e-05,-0.000327267,0.020914,0.0227841
bottom-body,29,0.25,0.45,-0.0760265,0.520365,0.00932518,0.00315334,0.00228338,-4.7503e-06,-0.000654675,0.0209897,0.0233048
bottom-body,30,0.15,-0.45,-0.0355686,0.475673,0.00903932,0.00304905,0.00229622,-9.17395e-06,0.000623964,0.0196164,0.0219424
bottom-body,31,0.15,-0.35,-0.0382504,0.382705,0.0083769,0.00267831,0.000327541,2.66626e-05,0.000360011,0.0195748,0.0214652
bottom-body,32,0.15,-0.25,-0.0409323,0.294407,0.00817754,0.002484,-0.000257818,3.05386e-05,0.000223079,0.0195587,0.0213472
bottom-body,33,0.15,-0.15,-0.0436141,0.216569,0.00808643,0.00236566,-0.00051429,2.00035e-05,0.000116018,0.0195464,0.0212914
bottom-body,34,0.15,-0.05,-0.0462959,0.164752,0.00805248,0.0023154,-0.000609598,6.77369e-06,3.60626e-05,0.0195401,0.0212696
bottom-body,35,0.15,0.05,-0.0489778,0.165526,0.00805248,0.0023154,-0.000609598,-6.77369e-06,-3.60626e-05,0.0195401,0.0212696
bottom-body,36,0.15,0.15,-0.0516596,0.218332,0.00808643,0.00236566,-0.00051429,-2.00035e-05,-0.000116018,0.0195464,0.0212914
bottom-body,37,0.15,0.25,-0.0543415,0.296569,0.00817754,0.002484,-0.000257818,-3.05386e-05,-0.000223079,0.0195587,0.0213472
bottom-body,38,0.15,0.35,-0.0570233,0.385035,0.0083769,0.00267831,0.000327541,-2.66626e-05,-0.000360011,0.0195748,0.0214652
bottom-body,39,0.15,0.45,-0.0597052,0.478084,0.00903932,0.00304905,0.00229622,9.17395e-06,-0.000623964,0.0196164,0.0219424
bottom-body,40,0.05,-0.45,-0.0192472,0.453178,0.00862151,0.00291781,0.00225366,-1.6278e-05,0.000585645,0.0184755,0.0207271
bottom-body,41,0.05,-0.35,-0.0219291,0.354233,0.00801575,0.00259146,0.000442121,9.0039e-06,0.000361883,0.0184513,0.0202915
bottom-body,42,0.05,-0.25,-0.0246109,0.256136,0.00782014,0.00241069,-0.000136332,1.50672e-05,0.000232445,0.0184564,0.020191
bottom-body,43,0.05,-0.15,-0.0272928,0.160452,0.00772901,0.00229683,-0.000397642,1.06816e-05,0.000123969,0.0184586,0.0201471
bottom-body,44,0.05,-0.05,-0.0299746,0.0768015,0.00769455,0.00224687,-0.000497276,3.76144e-06,3.88949e-05,0.0184594,0.0201309
bottom-body,45,0.05,0.05,-0.0326565,0.0778874,0.00769455,0.00224687,-0.000497276,-3.76144e-06,-3.88949e-05,0.0184594,0.0201309
bottom-body,46,0.05,0.15,-0.0353383,0.162015,0.00772901,0.00229683,-0.000397642,-1.06816e-05,-0.000123969,0.0184586,0.0201471
bottom-body,47,0.05,0.25,-0.0380201,0.25777,0.00782014,0.00241069,-0.000136332,-1.50672e-05,-0.000232445,0.0184564,0.020191
bottom-body,48,0.05,0.35,-0.040702,0.355889,0.00801575,0.00259146,0.000442121,-9.0039e-06,-0.000361883,0.0184513,0.0202915
bottom-body,49,0.05,0.45,-0.0433838,0.454843,0.00862151,0.00291781,0.00225366,1.6278e-05,-0.000585645,0.0184755,0.0207271
bottom-body,50,-0.05,-0.45,-0.00292587,0.452779,0.00809197,0.00275272,0.00214942,-2.22051e-05,0.000546944,0.0174318,0.0195409
bottom-body,51,-0.05,-0.35,-0.00560771,0.353598,0.00754061,0.00245466,0.000489767,-5.50686e-06,0.000342669,0.0174233,0.0191524
bottom-body,52,-0.05,-0.25,-0.00828956,0.255086,0.00736266,0.00229203,-4.71386e-05,1.37882e-06,0.000223753,0.0174459,0.0190754
bottom-body,53,-0.05,-0.15,-0.0109714,0.158494,0.00727944,0.0021884,-0.000292786,1.86329e-06,0.000120797,0.017461,0.0190464
bottom-body,54,-0.05,-0.05,-0.0136533,0.0720167,0.00724801,0.00214257,-0.00038739,7.84031e-07,3.81177e-05,0.0174683,0.0190373
bottom-body,55,-0.05,0.05,-0.0163351,0.072573,0.00724801,0.00214257,-0.00038739,-7.84031e-07,-3.81177e-05,0.0174683,0.0190373
bottom-body,56,-0.05,0.15,-0.019017,0.159253,0.00727944,0.0021884,-0.000292786,-1.86329e-06,-0.000120797,0.017461,0.0190464
bottom-body,57,-0.05,0.25,-0.0216988,0.255873,0.00736266,0.00229203,-4.71386e-05,-1.37882e-06,-0.000223753,0.0174459,0.0190754
bottom-body,58,-0.05,0.35,-0.0243807,0.354393,0.00754061,0.00245466,0.000489767,5.50686e-06,-0.000342669,0.0174233,0.0191524
bottom-body,59,-0.05,0.45,-0.0270625,0.453577,0.00809197,0.00275272,0.00214942,2.22051e-05,-0.000546944,0.0174318,0.0195409
bottom-body,60,-0.15,-0.45,0.0133955,0.474531,0.0074282,0.00254338,0.00198463,-2.94494e-05,0.000504175,0.0163934,0.0182917
bottom-body,61,-0.15,-0.35,0.0107136,0.380939,0.00693363,0.00226533,0.000481544,-1.99645e-05,0.000305334,0.0164042,0.0179619
bottom-body,62,-0.15,-0.25,0.00803178,0.291658,0.00678436,0.00212432,1.26079e-05,-1.18222e-05,0.000199048,0.0164447,0.0179167
bottom-body,63,-0.15,-0.15,0.00534993,0.212199,0.00671598,0.0020352,-0.000200878,-6.64643e-06,0.000107479,0.0164721,0.0179061
bottom-body,64,-0.15,-0.05,0.00266809,0.158136,0.00669073,0.00199616,-0.000282862,-2.101e-06,3.39527e-05,0.0164856,0.0179055
bottom-body,65,-0.15,0.05,-1.37617e-05,0.158114,0.00669073,0.00199616,-0.000282862,2.101e-06,-3.39527e-05,0.0164856,0.0179055
bottom-body,66,-0.15,0.15,-0.00269561,0.212149,0.00671598,0.0020352,-0.000200878,6.64643e-06,-0.000107479,0.0164721,0.0179061
bottom-body,67,-0.15,0.25,-0.00537746,0.291597,0.00678436,0.00212432,1.26079e-05,1.18222e-05,-0.000199048,0.0164447,0.0179167
bottom-body,68,-0.15,0.35,-0.00805931,0.380874,0.00693363,0.00226533,0.000481544,1.99645e-05,-0.000305334,0.0164042,0.0179619
bottom-body,69,-0.15,0.45,-0.0107412,0.474463,0.0074282,0.00254338,0.00198463,2.94494e-05,-0.000504175,0.0163934,0.0182917
bottom-body,70,-0.25,-0.45,0.0297168,0.515639,0.00655936,0.00226626,0.00174929,-4.01168e-05,0.000448539,0.0152775,0.0168768
bottom-body,71,-0.25,-0.35,0.027035,0.430965,0.00613337,0.00200717,0.000432209,-3.66624e-05,0.000247856,0.015318,0.0166294
bottom-body,72,-0.25,-0.25,0.0243531,0.354391,0.0060241,0.00189394,5.97728e-05,-2.56963e-05,0.000158357,0.0153789,0.0166258
bottom-body,73,-0.25,-0.15,0.0216713,0.292352,0.00597677,0.00182418,-0.000106115,-1.51459e-05,8.46881e-05,0.0154186,0.0166373
bottom-body,74,-0.25,-0.05,0.0189894,0.255657,0.00596023,0.00179441,-0.000169126,-4.91212e-06,2.6679e-05,0.0154377,0.0166462
bottom-body,75,-0.25,0.05,0.0163076,0.255472,0.00596023,0.00179441,-0.000169126,4.91212e-06,-2.6679e-05,0.0154377,0.0166462
bottom-body,76,-0.25,0.15,0.0136257,0.291866,0.00597677,0.00182418,-0.000106115,1.51459e-05,-8.46881e-05,0.0154186,0.0166373
bottom-body,77,-0.25,0.25,0.0109439,0.353723,0.0060241,0.00189394,5.97728e-05,2.56963e-05,-0.000158357,0.0153789,0.0166258
bottom-body,78,-0.25,0.35,0.00826204,0.430196,0.00613337,0.00200717,0.000432209,3.66624e-05,-0.000247856,0.015318,0.0166294
bottom-body,79,-0.25,0.45,0.00558019,0.514812,0.00655936,0.00226626,0.00174929,4.01168e-05,-0.000448539,0.0152775,0.0168768
bottom-body,80,-0.35,-0.45,0.0460382,0.571944,0.00531288,0.00186029,0.00139728,-5.52472e-05,0.000368548,0.0139614,0.0151228
bottom-body,81,-0.35,-0.35,0.0433563,0.49687,0.00497591,0.00162551,0.000338346,-5.63895e-05,0.0001618,0.0140463,0.0149948
